,City,State,Percent unemployment,State sale tax rate,Local tax rate,Total rate,Median Income,AvgTuition,Rank_Unemployment,Rank_Sales,Rank_income,Rank_Tution,Sum,Economy_rank,Lat,Lon
0,Atlanta,GA,10.2,0.04,0.049,0.08900000000000001,59345.0,10309.0,30.0,44.5,22.0,15.0,111.5,37.0,33.7490987,-84.3901849
1,Austin,TX,6.3,0.063,0.02,0.083,65886.0,8729.0,4.0,27.5,29.0,21.5,82.0,17.0,30.2711286,-97.7436995
2,Baltimore,MD,11.1,0.06,0.0,0.06,50492.0,12273.0,34.5,4.5,10.0,10.0,59.0,4.0,39.2908816,-76.610759
3,Birmingham,AL,,4.05,0.06,0.1,,,35.5,47.0,36.0,38.0,156.5,47.0,33.5206824,-86.8024326
4,Boston,MA,6.6,0.063,0.0,0.063,62180.0,20442.0,6.0,4.5,25.0,1.0,36.5,1.0,42.3604823,-71.0595678
5,Buffalo,NY,,0.04,0.048,0.08800000000000001,,16305.0,35.5,42.5,36.0,2.5,116.5,42.0,42.8867166,-78.8783922
6,Charlotte,NC,9.9,0.048,0.025,0.073,65622.0,,29.0,34.0,28.0,38.0,129.0,46.0,35.2270869,-80.8431268
7,Chicago,IL,9.8,0.063,0.04,0.10300000000000001,56121.0,7844.0,27.5,38.5,15.0,28.0,109.0,34.0,41.8755546,-87.6244212
8,Cincinnati,OH,7.2,0.057999999999999996,0.013000000000000001,0.07,49048.0,6304.0,9.5,21.0,9.0,33.0,72.5,7.5,39.1014537,-84.5124602
9,Cleveland,OH,7.9,0.057999999999999996,0.023,0.08,35685.0,6304.0,17.0,32.0,1.0,33.0,83.0,18.0,41.5051613,-81.6934446
10,Columbus,OH,6.5,0.057999999999999996,0.018000000000000002,0.075,54763.0,6304.0,5.0,24.0,13.0,33.0,75.0,11.5,39.9622601,-83.0007065
11,Dallas,TX,7.9,0.063,0.02,0.083,44838.0,8729.0,17.0,27.5,5.0,21.5,71.0,5.5,32.7762719,-96.7968559
12,Denver,CO,8.9,0.028999999999999998,0.048,0.077,59155.0,10468.0,22.5,42.5,20.0,14.0,99.0,29.5,39.7391536,-104.9847034
13,Detroit,MI,,0.06,0.0,0.06,,6791.0,35.5,4.5,36.0,29.0,105.0,32.0,42.3486635,-83.0567375
14,Hartford,CT,,,,,,,35.5,48.0,36.0,38.0,157.5,49.0,41.7645491,-72.6908673
15,Houston,TX,7.6,0.063,0.02,0.083,48889.0,8729.0,14.0,27.5,8.0,21.5,71.0,5.5,29.7589382,-95.3676974
16,Indianapolis,IN,8.9,0.07,0.0,0.07,56862.0,6515.0,22.5,4.5,17.0,31.0,75.0,11.5,39.7683331,-86.1583502
17,Jacksonville,FL,,0.06,0.01,0.07,,7996.0,35.5,17.0,36.0,25.5,114.0,39.5,30.3321838,-81.655651
18,Kansas City,MO,6.9,0.042,0.040999999999999995,0.083,59980.0,9497.0,7.0,40.0,23.0,18.0,88.0,23.0,39.0844687,-94.5630298
19,Las Vegas,NV,,0.069,0.013000000000000001,0.08199999999999999,,9687.0,35.5,21.0,36.0,17.0,109.5,35.0,36.1662859,-115.149225
20,Los Angeles,CA,11.1,0.073,0.02,0.09300000000000001,56558.0,13277.0,34.5,27.5,16.0,6.0,84.0,20.5,34.054935,-118.244476
21,Louisville,KY,,0.06,0.0,0.06,,,35.5,4.5,36.0,38.0,114.0,39.5,38.2542376,-85.759407
22,Memphis,TN,,0.07,0.023,0.09300000000000001,,8759.0,35.5,32.0,36.0,19.0,122.5,45.0,35.1490215,-90.0516285
23,Miami,FL,,0.06,0.01,0.07,,7996.0,35.5,17.0,36.0,25.5,114.0,39.5,25.7742658,-80.1936589
24,Milwaukee,WI,9.4,0.05,0.006,0.055999999999999994,44113.0,4357.0,26.0,12.0,3.0,37.0,78.0,16.0,43.0349931,-87.922497
25,Minneapolis,MN,5.7,0.069,0.009000000000000001,0.078,64095.0,6656.0,2.5,14.0,26.0,30.0,72.5,7.5,44.9772995,-93.2654692
26,Nashville,TN,7.3,0.07,0.023,0.09300000000000001,59270.0,,11.5,32.0,21.0,38.0,102.5,31.0,36.1622296,-86.7743531
27,New Orleans,LA,10.6,0.05,0.05,0.1,48789.0,6125.0,31.0,46.0,7.0,35.0,119.0,43.0,29.9499323,-90.0701156
28,New York,NY,11.0,0.04,0.049,0.08900000000000001,58608.0,16305.0,33.0,44.5,19.0,2.5,99.0,29.5,40.7306458,-73.9866136
29,Oklahoma City,OK,5.2,0.045,0.039,0.084,58370.0,5464.0,1.0,37.0,18.0,36.0,92.0,24.0,35.4729886,-97.5170536
30,Orlando,FL,,0.06,0.005,0.065,,7996.0,35.5,10.0,36.0,25.5,107.0,33.0,28.5421232,-81.3790475
31,Philadelphia,PA,10.9,0.06,0.02,0.08,48330.0,10852.0,32.0,27.5,6.0,11.5,77.0,14.0,39.9523993,-75.1635899
32,Phoenix,AZ,7.3,0.055999999999999994,0.03,0.086,60366.0,10492.0,11.5,35.0,24.0,13.0,83.5,19.0,33.4485866,-112.0773456
33,Pittsburgh,PA,7.0,0.06,0.01,0.07,51907.0,10852.0,8.0,17.0,11.0,11.5,47.5,2.0,40.4416941,-79.9900861
34,Portland,OR,7.9,0.0,0.0,0.0,65554.0,,17.0,4.5,27.0,38.0,86.5,22.0,45.5202471,-122.6741949
35,Providence,RI,,,,,,,35.5,48.0,36.0,38.0,157.5,49.0,41.8239891,-71.4128343
36,Richmond,VA,,0.053,0.0,0.053,,,35.5,4.5,36.0,38.0,114.0,39.5,37.5385087,-77.43428
37,Riverside,CA,,0.073,0.005,0.078,,,35.5,10.0,36.0,38.0,119.5,44.0,33.9533546,-117.3961623
38,Rochester,NY,8.4,0.04,0.04,0.08,37111.0,,19.0,38.5,2.0,38.0,97.5,28.0,43.157285,-77.615214
39,Sacramento,CA,,0.073,0.01,0.083,,13277.0,35.5,17.0,36.0,6.0,94.5,25.5,38.5815719,-121.4943996
40,Salt Lake City,UT,,,,,,,35.5,48.0,36.0,38.0,157.5,49.0,40.7670126,-111.8904308
41,San Antonio,TX,7.4,0.063,0.02,0.083,54444.0,8729.0,13.0,27.5,12.0,21.5,74.0,10.0,29.4246002,-98.4951405
42,San Diego,CA,9.2,0.073,0.005,0.078,79269.0,13277.0,25.0,10.0,32.0,6.0,73.0,9.0,32.7174209,-117.1627714
43,San Francisco,CA,7.8,0.073,0.013000000000000001,0.085,90640.0,13277.0,15.0,21.0,34.0,6.0,76.0,13.0,29.893526,-102.4040317
44,San Jose,CA,8.7,0.073,0.015,0.08800000000000001,92539.0,13277.0,20.0,23.0,35.0,6.0,84.0,20.5,37.3297085,-121.9031599
45,Seattle,WA,7.2,0.065,0.031,0.096,90303.0,9929.0,9.5,36.0,33.0,16.0,94.5,25.5,47.6038321,-122.3300624
46,St. Louis,MO,9.8,0.042,0.045,0.087,44360.0,,27.5,41.0,4.0,38.0,110.5,36.0,38.6272733,-90.1978889
47,Tampa,FL,8.8,0.06,0.01,0.07,55039.0,7996.0,21.0,17.0,14.0,25.5,77.5,15.0,27.9477595,-82.458444
48,Virginia Beach,VA,5.7,0.053,0.006999999999999999,0.06,76637.0,13255.0,2.5,13.0,31.0,9.0,55.5,3.0,36.7953025,-76.0509251225811
49,Washington,DC,9.1,0.057999999999999996,0.0,0.057999999999999996,72110.0,,24.0,4.5,30.0,38.0,96.5,27.0,38.8949549,-77.0366456
