,City,State,Population,Violent,Rape,Robbery,Colleges,Percent_graduate_degree,AvgSATScore,NumTop200UnivInState,NumHospital,total crime,crime_rank,hospital_rank,early_education_rank,old_education_rank,Human_related_rank,latitude,longitude,text
0,Atlanta,GA,410606.0,1119.6,36.6,429.3,12.0,12.7,1208.0,3.0,113.0,1585.4999999999998,33.0,22.0,29.0,16.5,27.0,33.7490987,-84.3901849,Atlanta: 27
1,Austin,TX,797215.0,372.5,51.9,99.0,9.0,11.0,1221.0,6.0,378.0,523.4,3.0,2.5,22.5,14.0,5.0,30.2711286,-97.7436995,Austin: 5
2,Baltimore,MD,612701.0,1535.9,46.2,694.2,11.0,8.5,1227.0,4.0,52.0,2276.3,40.0,36.0,20.0,20.0,36.0,39.2908816,-76.610759,Baltimore: 36
3,Birmingham,AL,212157.0,,,,,,,,,,45.0,38.0,35.0,36.0,48.0,33.5206824,-86.8024326,Birmingham: 48
4,Boston,MA,615462.0,706.8,36.1,233.1,22.0,13.8,1277.0,16.0,77.0,976.0,18.0,30.0,4.0,9.0,10.0,42.3604823,-71.0595678,Boston: 10
5,Buffalo,NY,,1118.6,67.0,400.2,,,1234.0,28.0,195.0,1585.8,34.0,14.5,16.5,36.0,28.0,42.8867166,-78.8783922,Buffalo: 28
6,Charlotte,NC,745596.0,677.6,24.6,221.8,8.0,8.6,,,,924.0,16.0,38.0,35.0,23.5,33.5,35.2270869,-80.8431268,Charlotte: 33
7,Chicago,IL,2679998.0,903.8,52.5,353.6,42.0,9.3,1241.0,5.0,143.0,1309.9,25.0,21.0,11.0,2.5,8.0,41.8755546,-87.6244212,Chicago: 8
8,Cincinnati,OH,292050.0,925.0,79.1,423.1,8.0,8.9,1240.0,7.0,151.0,1427.2,28.0,19.0,13.0,29.0,21.0,39.1014537,-84.5124602,Cincinnati: 21
9,Cleveland,OH,396441.0,1334.3,124.0,769.3,8.0,4.5,1240.0,7.0,151.0,2227.6,39.0,19.0,13.0,31.0,29.5,41.5051613,-81.6934446,Cleveland: 29
10,Columbus,OH,796520.0,546.3,95.1,264.2,8.0,7.8,1240.0,7.0,151.0,905.5999999999999,14.0,19.0,13.0,25.0,14.0,39.9622601,-83.0007065,Columbus: 14
11,Dallas,TX,1199739.0,694.2,60.1,320.8,10.0,5.9,1221.0,6.0,378.0,1075.1000000000001,22.0,2.5,22.5,15.0,11.0,32.7762719,-96.7968559,Dallas: 11
12,Denver,CO,597466.0,673.9,80.3,180.2,13.0,10.9,1257.0,5.0,53.0,934.3999999999999,17.0,35.0,5.0,12.0,12.0,39.7391536,-104.9847034,Denver: 12
13,Detroit,MI,,1759.6,78.7,513.5,,,1302.0,4.0,105.0,2351.8,43.0,24.5,2.0,36.0,31.0,42.3486635,-83.0567375,Detroit: 31
14,Hartford,CT,123243.0,,,,,,,,,,45.0,38.0,35.0,36.0,48.0,41.7645491,-72.6908673,Hartford: 48
15,Houston,TX,2131940.0,966.7,43.3,451.7,17.0,6.6,1221.0,6.0,378.0,1461.7,31.0,2.5,22.5,4.0,9.0,29.7589382,-95.3676974,Houston: 9
16,Indianapolis,IN,831943.0,1288.0,78.4,440.2,11.0,6.5,1234.0,6.0,97.0,1806.6000000000001,37.0,26.5,16.5,18.0,25.0,39.7683331,-86.1583502,Indianapolis: 25
17,Jacksonville,FL,,648.3,54.3,161.2,,,1199.0,4.0,218.0,863.8,12.0,11.5,31.5,36.0,24.0,30.3321838,-81.655651,Jacksonville: 24
18,Kansas City,MO,458064.0,1417.3,77.3,359.8,15.0,7.3,1314.0,2.0,88.0,1854.3999999999999,38.0,29.0,1.0,19.0,19.0,39.0844687,-94.5630298,Kansas City: 19
19,Las Vegas,NV,,920.7,70.9,320.7,,,1214.0,0.0,27.0,1312.3,26.0,37.0,25.0,36.0,42.0,36.1662859,-115.149225,Las Vegas: 42
20,Los Angeles,CA,3811518.0,634.8,55.7,225.9,30.0,6.7,1247.0,23.0,346.0,916.4,15.0,7.0,8.0,2.5,2.0,34.054935,-118.244476,Los Angeles: 2
21,Louisville,KY,,631.8,30.1,227.0,,,,,,888.9,13.0,38.0,35.0,36.0,41.0,38.2542376,-85.759407,Louisville: 41
22,Memphis,TN,,1740.1,80.6,475.9,,,1234.0,3.0,108.0,2296.6,42.0,23.0,16.5,36.0,39.0,35.1490215,-90.0516285,Memphis: 39
23,Miami,FL,,1021.3,18.3,383.8,,,1199.0,4.0,218.0,1423.3999999999999,27.0,11.5,31.5,36.0,32.0,25.7742658,-80.1936589,Miami: 32
24,Milwaukee,WI,593545.0,1596.1,72.6,624.4,12.0,5.4,,2.0,76.0,2293.1,41.0,31.0,35.0,21.0,43.0,43.0349931,-87.922497,Milwaukee: 43
25,Minneapolis,MN,388229.0,1062.9,98.4,458.5,8.0,12.5,1289.0,5.0,56.0,1619.8000000000002,35.0,34.0,3.0,27.0,26.0,44.9772995,-93.2654692,Minneapolis: 26
26,Nashville,TN,603394.0,1101.0,77.0,280.7,13.0,8.3,,,,1458.7,30.0,38.0,35.0,16.5,40.0,36.1622296,-86.7743531,Nashville: 40
27,New Orleans,LA,349773.0,949.6,104.0,380.5,10.0,8.5,,1.0,105.0,1434.1,29.0,24.5,35.0,28.0,37.5,29.9499323,-90.0701156,New Orleans: 37
28,New York,NY,8110206.0,585.8,14.0,198.2,103.0,9.6,1234.0,28.0,195.0,798.0,8.0,14.5,16.5,1.0,3.0,40.7306458,-73.9866136,New York: 3
29,Oklahoma City,OK,588053.0,765.6,76.1,189.0,6.0,6.0,,1.0,97.0,1030.7,21.0,26.5,35.0,30.0,33.5,35.4729886,-97.5170536,Oklahoma City: 33
30,Orlando,FL,,940.6,67.8,194.5,,,1199.0,4.0,218.0,1202.9,23.0,11.5,31.5,36.0,29.5,28.5421232,-81.3790475,Orlando: 29
31,Philadelphia,PA,1522648.0,1029.0,84.3,431.5,18.0,6.4,1213.0,16.0,179.0,1544.8,32.0,16.5,26.5,7.5,17.0,39.9523993,-75.1635899,Philadelphia: 17
32,Phoenix,AZ,1418687.0,593.8,65.1,193.6,11.0,6.2,1209.0,0.0,73.0,852.5,11.0,32.0,28.0,11.0,16.0,33.4485866,-112.0773456,Phoenix: 16
33,Pittsburgh,PA,308090.0,706.2,26.7,279.6,10.0,12.7,1213.0,16.0,179.0,1012.5000000000001,20.0,16.5,26.5,26.0,21.0,40.4416941,-79.9900861,Pittsburgh: 21
34,Portland,OR,598205.0,472.8,42.6,137.6,16.0,11.8,,,,653.0,6.0,38.0,35.0,10.0,21.0,45.5202471,-122.6741949,Portland: 21
35,Providence,RI,179129.0,,,,,,,,,,45.0,38.0,35.0,36.0,48.0,41.8239891,-71.4128343,Providence: 48
36,Richmond,VA,220289.0,,,,,,,,,,45.0,38.0,35.0,36.0,48.0,37.5385087,-77.43428,Richmond: 48
37,Riverside ,CA,,446.0,42.4,161.0,,,,,,649.4,5.0,38.0,35.0,36.0,35.0,33.9533546,-117.3961623,Riverside : 35
38,Rochester,NY,213178.0,,,,4.0,7.8,,,,,45.0,38.0,35.0,35.0,45.0,43.157285,-77.615214,Rochester: 45
39,Sacramento,CA,,737.4,21.4,239.7,,,1247.0,23.0,346.0,998.5,19.0,7.0,8.0,36.0,13.0,38.5815719,-121.4943996,Sacramento: 13
40,Salt Lake City,UT,193744.0,,,,,,,,,,45.0,38.0,35.0,36.0,48.0,40.7670126,-111.8904308,Salt Lake City: 48
41,San Antonio,TX,1365256.0,587.2,71.7,135.7,7.0,5.5,1221.0,6.0,378.0,794.6000000000001,7.0,2.5,22.5,22.0,7.0,29.4246002,-98.4951405,San Antonio: 7
42,San Diego,CA,1319558.0,398.6,40.4,98.4,16.0,10.9,1247.0,23.0,346.0,537.4,4.0,7.0,8.0,6.0,1.0,32.7174209,-117.1627714,San Diego: 1
43,San Francisco,CA,808854.0,776.8,39.8,417.9,17.0,16.0,1247.0,23.0,346.0,1234.5,24.0,7.0,8.0,5.0,6.0,37.6935802950957,-122.47755348592,San Francisco: 6
44,San Jose,CA,956368.0,329.6,36.4,110.5,4.0,9.8,1247.0,23.0,346.0,476.5,2.0,7.0,8.0,23.5,4.0,37.3297085,-121.9031599,San Jose: 4
45,Seattle,WA,624070.0,598.7,21.1,224.1,8.0,16.8,1196.0,4.0,63.0,843.9000000000001,10.0,33.0,34.0,13.0,23.0,47.6038321,-122.3300624,Seattle: 23
46,St.Louis,MO,304219.0,1817.1,82.9,564.5,6.0,7.8,,,,2464.5,44.0,38.0,35.0,33.5,44.0,38.6272733,-90.1978889,St.Louis: 44
47,Tampa,FL,340509.0,630.7,21.1,184.1,6.0,7.5,1199.0,4.0,218.0,835.9000000000001,9.0,11.5,31.5,32.0,18.0,27.9477595,-82.458444,Tampa: 18
48,Virginia Beach,VA,438243.0,138.3,22.7,59.6,3.0,7.3,1228.0,8.0,92.0,220.6,1.0,28.0,19.0,33.5,15.0,36.7953025,-76.0509251225811,Virginia Beach: 15
49,Washington ,DC,607731.0,1202.6,73.5,506.4,17.0,19.6,,,,1782.5,36.0,38.0,35.0,7.5,37.5,38.8949549,-77.0366456,Washington : 37
